Date,Latitude,Longitude
27-08-12,4.89225,7.12136
27-08-12,5.45494,6.70406
27-08-12,5.44881,6.63942
27-08-12,5.44706,6.63314
29-08-12,4.44833,6.33572
30-08-12,4.98433,7.17822
30-08-12,6.80842,6.19772
30-08-12,4.50578,6.05394
30-08-12,4.50136,6.04933
31-08-12,4.97844,7.10025
31-08-12,4.52642,6.00739
31-08-12,4.52642,6.01172
31-08-12,4.51253,6.03186
01-09-12,4.67664,5.96117
04-09-12,5.10119,6.50856
04-09-12,4.49917,6.25722
07-09-12,5.40372,6.61188
08-09-12,4.52617,6.00789
09-09-12,4.69983,7.24639
09-09-12,5.10036,6.50044
09-09-12,4.52631,6.00822
10-09-12,4.60608,6.35264
11-09-12,5.08522,6.53925
11-09-12,5.69278,6.52117
12-09-12,4.97903,7.20008
14-09-12,5.44978,6.76667
14-09-12,4.55717,7.03631
14-09-12,5.63069,6.77283
15-09-12,5.28792,6.78117
15-09-12,4.93114,7.02169
15-09-12,4.74306,6.90825
15-09-12,4.54961,6.53408
15-09-12,4.60386,6.37589
15-09-12,4.50908,6.03997
18-09-12,5.45219,6.79736
18-09-12,4.47958,6.08483
18-09-12,4.47797,6.10294
19-09-12,7.12086,6.29964
20-09-12,4.74053,6.10144
22-09-12,4.70008,7.24617
23-09-12,4.47492,6.13286
24-09-12,4.97181,6.80431
26-09-12,4.43694,6.31797
26-09-12,4.50633,6.05161
26-09-12,4.46650,6.15833
27-09-12,4.51931,7.23647
29-09-12,5.63422,5.70189
29-09-12,4.95844,6.50878
30-09-12,4.50469,7.22300
02-10-12,5.53044,6.35058
06-10-12,4.52611,6.00794
06-10-12,4.52597,6.00786
06-10-12,4.52589,6.00778
07-10-12,5.79686,5.85861
07-10-12,4.75258,6.03011
08-10-12,4.56642,5.90225
08-10-12,4.54761,5.94122
09-10-12,6.72950,6.16703
10-10-12,5.78156,5.70711
10-10-12,4.50969,6.03758
10-10-12,4.50825,6.04442
13-10-12,4.61300,6.20553
13-10-12,4.49589,6.10186
14-10-12,4.47500,6.13089
14-10-12,4.47497,6.13281
15-10-12,4.47500,6.13089
15-10-12,4.46953,6.14328
16-10-12,4.47428,6.13419
17-10-12,5.69772,5.82703
17-10-12,5.45692,6.69733
18-10-12,4.47472,6.11997
18-10-12,4.52803,6.63117
19-10-12,4.45517,6.17967
20-10-12,4.49650,6.07575
21-10-12,5.38883,6.67942
21-10-12,4.41239,6.35331
21-10-12,4.38475,6.33031
22-10-12,4.80872,7.10406
22-10-12,5.80972,5.91750
23-10-12,4.83786,7.08511
24-10-12,5.56861,5.20536
24-10-12,5.30808,6.32369
24-10-12,4.27167,8.15500
25-10-12,5.44011,5.82256
25-10-12,4.62961,6.26625
26-10-12,5.42189,6.68953
27-10-12,4.98194,7.16914
27-10-12,6.09142,5.52011
27-10-12,4.62822,6.26456
27-10-12,4.25890,8.20000
28-10-12,4.62936,6.26600
28-10-12,4.60333,6.33839
29-10-12,5.65847,6.66131
29-10-12,5.64061,6.61900
31-10-12,4.47764,6.10331
01-11-12,4.87683,7.17258
01-11-12,5.41878,6.68981
02-11-12,4.85981,7.13567
02-11-12,4.71072,7.28019
03-11-12,5.63269,6.67081
04-11-12,4.56639,5.90222
06-11-12,4.51411,6.02936
08-11-12,4.70381,7.27964
08-11-12,5.10060,6.49483
09-11-12,4.36817,7.94417
09-11-12,5.25794,6.65661
09-11-12,7.09731,6.29119
09-11-12,5.69911,6.52419
09-11-12,5.38819,6.68961
09-11-12,4.54764,5.94117
09-11-12,4.47500,6.13281
09-11-12,4.47033,6.14056
10-11-12,4.70378,7.24322
10-11-12,4.82317,5.71219
11-11-12,4.86942,7.13547
11-11-12,4.64489,7.27753
12-11-12,4.91031,7.09094
13-11-12,4.98117,7.17325
14-11-12,5.23325,6.63814
14-11-12,5.24861,6.59925
15-11-12,5.45417,6.66361
16-11-12,5.24169,6.63906
16-11-12,4.98006,7.17931
16-11-12,4.97992,7.17569
17-11-12,5.26367,6.55397
17-11-12,4.47472,6.12000
19-11-12,5.23589,6.62367
19-11-12,5.56917,5.63639
19-11-12,5.56425,5.61586
19-11-12,4.60400,6.33764
20-11-12,4.52553,6.00797
20-11-12,4.50628,6.05164
20-11-12,4.50517,6.05617
20-11-12,4.47475,6.12233
21-11-12,5.10944,6.47556
22-11-12,4.69539,5.92042
23-11-12,5.57403,5.20631
23-11-12,5.57403,5.20631
23-11-12,5.57753,5.67781
23-11-12,4.74789,6.02744
25-11-12,5.15514,6.44000
25-11-12,5.15353,6.44056
26-11-12,4.56033,7.00178
27-11-12,5.89586,5.60725
27-11-12,5.16503,6.44061
29-11-12,4.78800,7.18322
29-11-12,5.29236,6.29597
29-11-12,5.10031,6.50964
29-11-12,5.09992,6.49836
30-11-12,4.43697,6.31800
06-12-12,4.27557,8.14733
07-12-12,5.53672,5.87994
07-12-12,4.20189,7.27597
07-12-12,4.76239,5.97808
07-12-12,4.48533,6.09694
07-12-12,4.47494,6.13011
